TVBS频道,#genre#  
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8

三立新闻,#genre#   
三立新闻,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8543/.m3u8
三立新闻,https://stream1.freetv.fun/d199101b211d2efeb52e94bf3f8cfe100c586f3d1825ba547c29d259dde928e8.ctv
三立新闻,http://211.72.65.236:8543/.m3u8
三立新闻,https://stream1.freetv.fun/san-li-xin-wen-2.ctv
三立新闻,https://stream1.freetv.fun/san-li-xin-wen-6.ctv



中天新闻,#genre#  
中天新闻,http://50.7.234.10:8278/ctinews/playlist.m3u8?tid=MB0B9546410395464103&ct=19249&tsum=30c62d7eec5ce9a49a64c3fa3ff8a8b7
中天新闻,http://ali.hlspull.yximgs.com/live/tboxpropqqtvvqqqyquuqqfvbscvqdqtwqfsqqsqqqcvuyqemqeqtxw.flv
中天新闻,https://stream1.freetv.fun/zhong-tian-xin-wen-4.ctv
中天新聞,https://stream1.freetv.fun/zhong-tian-xin-wen-7.ctv

台视新闻,#genre#  
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
 

東森频道,#genre#  
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
EBC东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8 
EBC东森新闻,https://stream1.freetv.fun/34438cfe544b494f8d68c7620c788c161e9bc0d59b6261d14b67c8c7900b084f.m3u8

东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-5.ctv
東森新聞,https://stream1.freetv.fun/dong-sen-xin-wen-1.m3u8
東森新聞,https://stream1.freetv.fun/dong-sen-xin-wen-8.ctv

华语电视,#genre#  
华语电视,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
华语电视,http://38.64.72.148:80/hls/modn/list/4002/chunklist1.m3u8
华语电视,http://38.64.72.148:80/hls/modn/list/4003/chunklist1.m3u8
华语电视,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
 

民视频道,#genre#  
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视HD,http://37.27.111.214:8080/live/6/hls.m3u8
民视新闻台:https://stream1.freetv.fun/b63bf1df7bf1e2c47a873d3987c2d59a08d8e4dfed1e197bce7e791eb64eb16e.m3u8

 
 
台视新闻,#genre#  
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
